Session or Event Title,Session or Event Abbreviation,Session or Event Type,Session or Event Topic,Session or Event Date,Session or Event Start Time,Session or Event End Time,Session or Event Location,Session or Event Details,Session or Event Hosts,Abstract or Placeholder Title,Abstract Final ID,Abstract or Placeholder Start Time,Abstract or Placeholder End Time,Abstract Presenter Name,Abstract Authors,Abstract Status,Institutions All,Abstract Body,Session Abstract Sort Order,"The Program Report was last updated December 16, 2015 at 01:17 AM EST. To view the most recent meeting schedule online, visit https://aas227.abstractcentral.com/planner.jsp"
2016 AAS Astronomy Ambassador Workshop (day 1 of 2),,Workshop,,03-Jan-2016,9:00 AM,5:00 PM,St. George 104 (Gaylord Palms Resort and Convention Center),,"Organizer: Richard Fienberg, rick.fienberg@aas.org, American Astronomical Society;Organizer: Suzanne Gurton, sgurton@astrosociety.org, Astronomical Society of the Pacific",,,,,,,,,,,
Introduction to Software Carpentry 2 Day Workshop (day 1 of 2),,Workshop,,03-Jan-2016,9:00 AM,5:30 PM,St. George 106 (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
Teaching Introductory Astronomy Using Quantitative Reasoning Activities & Research Projects,,Workshop,,03-Jan-2016,9:00 AM,5:30 PM,Emerald 2 (Gaylord Palms Resort and Convention Center),,"Organizer: Timothy Slater, timslaterwyo@gmail.com, University of Wyoming",,,,,,,,,,,
The CAE’s Tier I Teaching Excellence Workshop (day 1 of 2),,Workshop,,03-Jan-2016,9:00 AM,5:30 PM,St. George 112 (Gaylord Palms Resort and Convention Center),,"Organizer: Gina Brissenden, gbrissenden@as.arizona.edu, Center for Astronomy Education (CAE), Steward Observatory, Univ. of Arizona",,,,,,,,,,,
Exoplanet Exploration Program Analysis Group (ExoPAG) (day 1 of 2),,Splinter Meeting,,03-Jan-2016,1:00 PM,5:00 PM,Orange Blossom Ballroom (Gaylord Palms Resort and Convention Center),,,,,,,,,,,,,
2016 NSF Postdoctoral Fellows Symposium (day 1 of 2),,Workshop,,03-Jan-2016,1:00 PM,6:00 PM,Sun C (Gaylord Palms Resort and Convention Center),,"Organizer: Devin Silvia, dsilvia@msu.edu, Michigan State University",,,,,,,,,,,
COPAG SIG,,Splinter Meeting,,04-Jan-2016,8:00 AM,1:00 PM,Miami (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,,,,,,
CosmicSIG,,Splinter Meeting,,04-Jan-2016,8:00 AM,1:00 PM,Naples (Gaylord Palms Resort and Convention Center),,"Organizer: Ann Hornschemeier, Ann.Hornschemeier@nasa.gov, NASA GSFC",,,,,,,,,,,
GWSIG,,Splinter Meeting,,04-Jan-2016,8:00 AM,1:00 PM,Sanibel (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,,,,,,
GammaSIG,,Splinter Meeting,,04-Jan-2016,8:00 AM,1:00 PM,Tallahassee 3 (Gaylord Palms Resort and Convention Center),,"Organizer: Ann Hornschemeier, Ann.Hornschemeier@nasa.gov, NASA GSFC",,,,,,,,,,,
XRSIG,,Splinter Meeting,,04-Jan-2016,8:00 AM,1:00 PM,Sarasota (Gaylord Palms Resort and Convention Center),,"Organizer: Susan Neff, susan.g.neff@nasa.gov, NASA's GSFC",,,,,,,,,,,
